year,month,drinking,total,per,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,per_adj
2014,5,691,3202,0.2158026233603997,False,False,False,False,True,False,False,False,False,False,False,False,0.2070833237739027
2014,6,678,3132,0.2164750957854406,False,False,False,False,False,True,False,False,False,False,False,False,0.2168717673305931
2014,7,750,3306,0.2268602540834845,False,False,False,False,False,False,True,False,False,False,False,False,0.22215077784595927
2014,8,772,3420,0.2257309941520467,False,False,False,False,False,False,False,True,False,False,False,False,0.22257695328450922
2014,9,634,3225,0.1965891472868217,False,False,False,False,False,False,False,False,True,False,False,False,0.20107571134479763
2014,10,683,3430,0.1991253644314868,False,False,False,False,False,False,False,False,False,True,False,False,0.2029335610207479
2014,11,705,3340,0.2110778443113772,False,False,False,False,False,False,False,False,False,False,True,False,0.21843934809320764
2014,12,602,3221,0.1868984787333126,False,False,False,False,False,False,False,False,False,False,False,True,0.2004362917732223
2015,1,574,3106,0.184803605924018,True,False,False,False,False,False,False,False,False,False,False,False,0.1892920275975687
2015,2,493,2633,0.1872388909988606,False,True,False,False,False,False,False,False,False,False,False,False,0.19306939045922178
2015,3,621,3159,0.1965811965811965,False,False,True,False,False,False,False,False,False,False,False,False,0.20156201960650755
2015,4,628,3102,0.2024500322372663,False,False,False,True,False,False,False,False,False,False,False,False,0.19724548028467126
2015,5,781,3623,0.2155672094948937,False,False,False,False,True,False,False,False,False,False,False,False,0.212623691040692
2015,6,730,3759,0.1942005852620378,False,False,False,False,False,True,False,False,False,False,False,False,0.20037303793948524
2015,7,717,3912,0.183282208588957,False,False,False,False,False,False,True,False,False,False,False,False,0.1843485134837266
2015,8,798,3945,0.2022813688212927,False,False,False,False,False,False,False,True,False,False,False,False,0.20490310908605025
2015,9,684,3808,0.1796218487394958,False,False,False,False,False,False,False,False,True,False,False,False,0.18988419392976574
2015,10,746,3926,0.1900152827305145,False,False,False,False,False,False,False,False,False,True,False,False,0.19959926045207155
2015,11,640,3638,0.1759208356239692,False,False,False,False,False,False,False,False,False,False,True,False,0.18905812053809434
2015,12,659,3750,0.1757333333333333,False,False,False,False,False,False,False,False,False,False,False,True,0.19504692750553865
2016,1,616,3000,0.2053333333333333,True,False,False,False,False,False,False,False,False,False,False,False,0.2155975361391782
2016,2,603,3162,0.1907020872865275,False,True,False,False,False,False,False,False,False,False,False,False,0.20230836787918172
2016,3,679,3413,0.1989452094931145,False,False,True,False,False,False,False,False,False,False,False,False,0.20970181365071916
2016,4,725,3524,0.2057321225879682,False,False,False,True,False,False,False,False,False,False,False,False,0.2063033517676658
2016,5,782,3823,0.2045513994245357,False,False,False,False,True,False,False,False,False,False,False,False,0.20738366210262704
2016,6,723,4020,0.1798507462686567,False,False,False,False,False,True,False,False,False,False,False,False,0.19179898007839746
2016,7,783,3826,0.2046523784631468,False,False,False,False,False,False,True,False,False,False,False,False,0.21149446449020814
2016,8,737,4141,0.1779763342187877,False,False,False,False,False,False,False,True,False,False,False,False,0.1863738556158374
2016,9,705,4032,0.1748511904761904,False,False,False,False,False,False,False,False,True,False,False,False,0.19088931679875287
2016,10,815,4290,0.1899766899766899,False,False,False,False,False,False,False,False,False,True,False,False,0.2053364488305398
2016,11,650,3949,0.1645986325652063,False,False,False,False,False,False,False,False,False,False,True,False,0.18351169861162475
2016,12,651,3743,0.1739246593641464,False,False,False,False,False,False,False,False,False,False,False,True,0.19901403466864487
2017,1,652,3617,0.1802598838816698,True,False,False,False,False,False,False,False,False,False,False,False,0.1962998678198069
2017,2,571,2999,0.1903967989329776,False,True,False,False,False,False,False,False,False,False,False,False,0.20777886065792472
2017,3,674,3682,0.1830526887561108,False,False,True,False,False,False,False,False,False,False,False,False,0.19958507404600923
2017,4,721,3691,0.1953400162557572,False,False,False,True,False,False,False,False,False,False,False,False,0.20168702656774862
2017,5,706,3978,0.1774761186525892,False,False,False,False,True,False,False,False,False,False,False,False,0.1860841624629721
2017,6,719,4191,0.1715581006919589,False,False,False,False,False,True,False,False,False,False,False,False,0.18928211563399167
2017,7,840,4370,0.1922196796338672,False,False,False,False,False,False,True,False,False,False,False,False,0.20483754679322175
2017,8,779,4018,0.1938775510204081,False,False,False,False,False,False,False,True,False,False,False,False,0.20805085354975184
2017,9,740,4265,0.1735052754982415,False,False,False,False,False,False,False,False,True,False,False,False,0.19531918295309758
2017,10,732,4162,0.1758769822200865,False,False,False,False,False,False,False,False,False,True,False,False,0.19701252220622933
2017,11,709,3946,0.1796756208819057,False,False,False,False,False,False,False,False,False,False,True,False,0.20436446806061603
2017,12,687,3894,0.1764252696456086,False,False,False,False,False,False,False,False,False,False,False,True,0.2072904260824
2018,1,621,3515,0.1766714082503556,True,False,False,False,False,False,False,False,False,False,False,False,0.19848717332078714
2018,2,546,3167,0.1724029049573729,False,True,False,False,False,False,False,False,False,False,False,False,0.1955607478146142
2018,3,587,3490,0.1681948424068768,False,False,True,False,False,False,False,False,False,False,False,False,0.19050300882906868
2018,4,666,3398,0.1959976456739258,False,False,False,True,False,False,False,False,False,False,False,False,0.20812043711821104
2018,5,670,3889,0.1722807919773721,False,False,False,False,True,False,False,False,False,False,False,False,0.18666461692004965
2018,6,731,3985,0.1834378920953576,False,False,False,False,False,True,False,False,False,False,False,False,0.20693768816968472
2018,7,740,3968,0.1864919354838709,False,False,False,False,False,False,True,False,False,False,False,False,0.20488558377551946
2018,8,702,4106,0.1709693132001948,False,False,False,False,False,False,False,True,False,False,False,False,0.1909183968618322
2018,9,738,4009,0.1840858069343976,False,False,False,False,False,False,False,False,True,False,False,False,0.21167549552154874
2018,10,705,4182,0.1685796269727403,False,False,False,False,False,False,False,False,False,True,False,False,0.19549094809117662
2018,11,627,3660,0.171311475409836,False,False,False,False,False,False,False,False,False,False,True,False,0.20177610372084054
2018,12,647,3651,0.1772117228156669,False,False,False,False,False,False,False,False,False,False,False,True,0.21385266038475237
2019,1,575,3294,0.1745598057073467,True,False,False,False,False,False,False,False,False,False,False,False,0.2021513519100715
2019,2,529,2879,0.1837443556790552,False,True,False,False,False,False,False,False,False,False,False,False,0.21267797966858915
2019,3,630,3398,0.1854031783402001,False,False,True,False,False,False,False,False,False,False,False,False,0.21348712589468555
2019,4,613,3364,0.1822235434007134,False,False,False,True,False,False,False,False,False,False,False,False,0.20012211597729213
2019,5,721,3852,0.1871754932502596,False,False,False,False,True,False,False,False,False,False,False,False,0.2073350993252312
2019,6,697,3872,0.1800103305785124,False,False,False,False,False,True,False,False,False,False,False,False,0.20928590778513367
2019,7,730,3893,0.1875160544567171,False,False,False,False,False,False,True,False,False,False,False,False,0.21168548388065922
2019,8,726,3960,0.1833333333333333,False,False,False,False,False,False,False,True,False,False,False,False,0.20905819812726456
2019,9,718,3987,0.1800852771507399,False,False,False,False,False,False,False,False,True,False,False,False,0.2134507468701834
2019,10,631,3869,0.1630912380460067,False,False,False,False,False,False,False,False,False,True,False,False,0.19577834029673724
2019,11,642,3528,0.1819727891156462,False,False,False,False,False,False,False,False,False,False,True,False,0.21821319855894394
2019,12,670,3471,0.1930279458369346,False,False,False,False,False,False,False,False,False,False,False,True,0.23544466453831348
2020,1,615,3107,0.1979401351786289,True,False,False,False,False,False,False,False,False,False,False,False,0.23130746251364798
2020,2,606,3097,0.1956732321601549,False,True,False,False,False,False,False,False,False,False,False,False,0.23038263728198416
2020,3,581,2930,0.1982935153583618,False,False,True,False,False,False,False,False,False,False,False,False,0.2321532440451417
2020,4,468,2444,0.1914893617021276,False,False,False,True,False,False,False,False,False,False,False,False,0.2151637154110002
2020,5,729,3497,0.2084643980554761,False,False,False,False,True,False,False,False,False,False,False,False,0.23439978526274174
2020,6,897,4193,0.2139279751967565,False,False,False,False,False,True,False,False,False,False,False,False,0.24897933353567225
2020,7,837,4173,0.2005751258087706,False,False,False,False,False,False,True,False,False,False,False,False,0.23052033636500724
2020,8,962,4379,0.2196848595569764,False,False,False,False,False,False,False,True,False,False,False,False,0.2511855054832015
2020,9,834,4215,0.197864768683274,False,False,False,False,False,False,False,False,True,False,False,False,0.23700601953501277
2020,10,798,4332,0.1842105263157894,False,False,False,False,False,False,False,False,False,True,False,False,0.22267340969881388
2020,11,782,3898,0.2006157003591585,False,False,False,False,False,False,False,False,False,False,True,False,0.24263189093475113
2020,12,689,3634,0.1895982388552559,False,False,False,False,False,False,False,False,False,False,False,True,0.23779073868892908
